,index,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street
93,96,"Gdynia, Mały Kack",2200000.0,16176.0,136.0,5.0,2.0,0,wtórny,,apartamentowiec,0.0,,,1,0,0,,Mały Kack,
94,97,"Gdynia, Wzgórze Św. Maksymiliana",1769254.0,22900.0,77.26,3.0,3.0,0,pierwotny,2022.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,0.0,Wzgórze Św. Maksymiliana,
95,98,"Gdynia, Chwarzno-Wiczlino, Chwarzno",839000.0,12124.0,69.2,3.0,3.0,1,wtórny,2020.0,,0.0,,3.0,0,0,0,2.0,Chwarzno-Wiczlino,
96,99,"Gdynia, Oksywie, Zielona",485345.0,8089.0,60.0,4.0,1.0,1,pierwotny,2022.0,apartamentowiec,0.0,,3.0,1,1,1,0.0,Oksywie,
97,100,"Gdynia, Wielki Kack",499000.0,12475.0,40.0,2.0,,0,wtórny,2015.0,,0.0,,,0,0,0,7.0,Wielki Kack,
98,101,"Gdynia, Obłuże",259000.0,7667.0,33.78,1.0,1.0,1,wtórny,1960.0,blok,0.0,elektryczne,3.0,0,0,0,62.0,Obłuże,
99,102,"Morska, Gdynia, pomorskie",949900.0,11815.0,80.4,3.0,2.0,1,wtórny,,kamienica,0.0,gazowe,4.0,1,0,0,,Gdynia,Morska
100,103,"Gdynia, Chwarzno-Wiczlino, gen. Mariusza Zaruskiego",699000.0,10625.0,65.79,3.0,1.0,1,wtórny,2012.0,,1.0,miejskie,3.0,1,0,0,10.0,Chwarzno-Wiczlino,
101,104,"Gdynia, Obłuże, ul. Jantarowa",585000.0,9983.0,58.6,3.0,0.0,0,wtórny,2011.0,blok,1.0,miejskie,7.0,0,1,1,11.0,Obłuże,
102,105,"Gdynia, Cisowa",627000.0,11737.0,53.42,3.0,0.0,1,wtórny,2021.0,blok,1.0,miejskie,5.0,0,1,0,1.0,Cisowa,
103,106,"ul. Kazimierza Górskiego, Gdynia, pomorskie",572834.66,12129.0,47.23,2.0,5.0,0,pierwotny,2021.0,apartamentowiec,1.0,miejskie,16.0,0,0,0,1.0,Gdynia,ul. Kazimierza Górskiego
104,107,"Gdynia, Redłowo, Bohaterów Starówki Warszawskiej",620000.0,12029.0,51.54,2.0,1.0,1,wtórny,,,0.0,,4.0,1,0,0,,Redłowo,
105,108,"Gdynia, Chwarzno-Wiczlino, ul. Franciszka Sokoła",990000.0,10882.0,90.98,3.0,1.0,0,wtórny,1999.0,,0.0,kotłownia,2.0,0,0,1,23.0,Chwarzno-Wiczlino,
106,111,"Gdynia, Śródmieście, Kazimierza Pułaskiego",1599000.0,16656.0,96.0,5.0,0.0,0,wtórny,,kamienica,0.0,gazowe,3.0,0,0,0,,Śródmieście,
107,113,"Gdynia, Śródmieście",495000.0,11458.0,43.2,2.0,3.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Śródmieście,
108,114,"Gdynia, Grabówek",499000.0,9239.0,54.01,3.0,4.0,0,wtórny,1970.0,blok,0.0,miejskie,4.0,1,0,0,52.0,Grabówek,
109,115,"Gdynia, Leszczynki, ul. Stefana Ramułta",439000.0,9756.0,45.0,3.0,2.0,0,wtórny,,kamienica,0.0,miejskie,4.0,0,0,0,,Leszczynki,
110,116,"Gdynia, Śródmieście, Stefana Żeromskiego",890000.0,19778.0,45.0,2.0,2.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,2.0,Śródmieście,
111,117,"Gdynia, Pogórze, Staszica",540000.0,10189.0,53.0,3.0,3.0,1,wtórny,2014.0,apartamentowiec,0.0,miejskie,3.0,1,0,0,8.0,Pogórze,
112,118,"Gdynia, Śródmieście, Centrum, ul. Antoniego Abrahama",2950000.0,25652.0,115.0,4.0,1.0,1,wtórny,2016.0,kamienica,1.0,miejskie,5.0,1,0,0,6.0,Śródmieście,
113,119,"Gdynia, Grabówek, Stefana Ramułta",439000.0,9756.0,45.0,2.0,2.0,1,wtórny,,kamienica,0.0,miejskie,8.0,0,0,0,,Grabówek,
114,120,"Gdynia, Redłowo, ul. gen. Józefa Hallera",1643000.0,15500.0,106.0,3.0,1.0,1,wtórny,1936.0,kamienica,0.0,gazowe,2.0,1,1,1,86.0,Redłowo,
115,121,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, Chabrowa",675000.0,10170.0,66.37,3.0,0.0,1,wtórny,1995.0,,0.0,,4.0,1,0,1,27.0,Pustki Cisowskie-Demptowo,
116,122,"Gdynia, Cisowa, ul. Chylońska",463000.0,9646.0,48.0,3.0,3.0,0,wtórny,1979.0,blok,0.0,miejskie,4.0,1,0,0,43.0,Cisowa,
117,123,"Gdynia, Śródmieście",469900.0,12700.0,37.0,2.0,3.0,1,wtórny,,blok,0.0,miejskie,4.0,0,0,0,,Śródmieście,
118,124,"Gdynia, Śródmieście, Centrum, ul. Hieronima Derdowskiego",864000.0,18989.0,45.5,2.0,3.0,1,wtórny,1960.0,kamienica,0.0,miejskie,5.0,1,0,0,62.0,Śródmieście,
119,125,"Gdynia, Mały Kack",433000.0,11189.0,38.7,2.0,1.0,1,wtórny,2022.0,,0.0,,2.0,1,0,1,0.0,Mały Kack,
120,126,"Gdynia, Leszczynki, ul. Kaspra Geskiego",399015.0,11420.0,34.94,2.0,0.0,1,pierwotny,2022.0,blok,1.0,miejskie,3.0,0,1,1,0.0,Leszczynki,
121,127,"Gdynia, Mały Kack, ul. Olgierda",485362.0,12919.0,37.57,2.0,2.0,1,pierwotny,2022.0,blok,0.0,gazowe,3.0,0,0,0,0.0,Mały Kack,
